"","master_id","year","prop","perc_lib"
"1","10.002.10.1.",2011,0,0.30078125
"2","10.018.10.9.",2011,0,0.271028037
"3","10.021.10.32.",2011,0,0.206896552
"4","10.026.10.13.",2011,0,0.24291498
"5","10.028.10.16.",2011,0,0.168224299
"6","10.035s.10.702.",2011,0,0.2
"7","10.038.10.31.",2011,0,0.14
"8","10.039.10.34.",2011,0,0.258426966
"9","10.047.10.26.",2011,0,0.139784946
"10","10.055.10.24.",2011,0,0.263681592
"11","10.067.10.95.",2011,0,0.402597403
"12","10.068.10.97.",2011,0,0.235294118
"13","10.079.10.112.",2011,0,0.284768212
"14","10.103.10.52.",2011,0,0.331658291
"15","10.152.10.96.",2011,0,0.333333333
"16","10.181.10.150.",2011,0,0.180124224
"17","10.185.10.146.",2011,0,0.166666667
"18","10.206.10.148.",2011,0,0.3
"19","10.223.10.167.",2011,1,0.228813559
"20","10.227.10.203.",2011,1,0.227848101
"21","10.228.10.162.",2011,0,0.245901639
"22","10.229.10.165.",2011,0,0.275229358
"23","10.235.10.195.",2011,0,0.368
"24","10.245.10.218.",2011,0,0.125
"25","10.248.10.221.",2011,0,0.238993711
"26","10.267.10.211.",2011,0,0.256684492
"27","10.271.10.207.",2011,0,0.323943662
"28","10.275.10.223.",2011,0,0.224719101
"29","105.004.105.5.",2011,0,0.283261803
"30","105.022.105.16.",2011,0,0.208588957
"31","105.088.105.64.",2011,0,0.336065574
"32","105.099.105.54.",2011,0,0.228813559
"33","105.116.105.111.",2011,0,0.224637681
"34","105.120.105.200.",2011,0,0.243589744
"35","105.127.105.199.",2011,0,0.247126437
"36","105.136.105.197.",2011,0,0.383647799
"37","105.196.105.133.",2011,0,0.299270073
"38","105.201.105.131.",2011,0,0.279187817
"39","105.213.105.207.",2011,0,0.212389381
"40","105.232.105.145.",2011,0,0.205555556
"41","105.236.105.226.",2011,0,0.230769231
"42","105.252.105.222.",2011,0,0.196428571
"43","14.141.14.208.",2011,1,0.234042553
"44","14.148.14.73.",2011,0,0.299019608
"45","14.163.14.193.",2011,1,0.264069264
"46","14.164.14.77.",2011,1,0.330935252
"47","14.191.14.1.",2011,1,0.192771084
"48","14.193.14.2.",2011,0,0.205882353
"49","14.194.14.1.",2011,1,0.192771084
"50","14.204s.14.700.",2011,0,0.333333333
"51","14.205.14.67.",2011,0,0.273255814
"52","14.215.14.7.",2011,0,0.170212766
"53","14.263.14.49.",2011,0,0.28742515
"54","18.028.18.31.",2011,0,0.233333333
"55","18.063.18.140.",2011,0,0.245810056
"56","18.114.18.96.",2011,0,0.162162162
"57","18.134.18.20.",2011,0,0.13836478
"58","18.180.18.43.",2011,0,0.166666667
"59","18.183.18.98.",2011,0,0.126829268
"60","18.192.18.108.",2011,0,0.25
"61","18.196.18.152.",2011,0,0.393700787
"62","19.005.19.3.",2011,0,0.214611872
"63","19.011.19.65.",2011,0,0.293478261
"64","19.019.19.66.",2011,0,0.243523316
"65","19.070.19.71.",2011,0,0.312820513
"66","19.075.19.57.",2011,0,0.364640884
"67","19.082.19.31.",2011,0,0.310344828
"68","19.084.19.77.",2011,0,0.196808511
"69","19.098.19.195.",2011,0,0.218954248
"70","19.099.19.193.",2011,0,0.242038217
"71","19.124.19.177.",2011,0,0.193103448
"72","19.125s.19.711.",2011,0,0.384615385
"73","2.033s.2.700.",2011,0,0.2
"74","2.036.2.20.",2011,0,0.116883117
"75","2.048.2.30.",2011,0,0.045454545
"76","2.065.2.39.",2011,0,0.19205298
"77","2.073.2.56.",2011,0,0.306122449
"78","2.075.2.46.",2011,0,0.288557214
"79","2.083.2.82.",2011,0,0.350993377
"80","2.106.2.110.",2011,0,0.268115942
"81","2.110.2.52.",2011,0,0.380952381
"82","2.112.2.58.",2011,0,0.350194553
"83","2.131.2.116.",2011,0,0.345238095
"84","2.145.2.112.",2011,0,0.308641975
"85","2.149.2.60.",2011,0,0.441441441
"86","2.152.2.63.",2011,0,0.125
"87","2.163.2.72.",2011,0,0.335877863
"88","2.166.2.75.",2011,0,0.161904762
"89","2.175.2.103.",2011,0,0.287356322
"90","2.176.2.105.",2011,0,0.256578947
"91","2.177.2.107.",2011,0,0.392857143
"92","2.179.2.121.",2011,0,0.336956522
"93","2.198.2.135.",2011,0,0.193548387
"94","2.207.2.137.",2011,0,0.267080745
"95","21.003.21.4.",2011,0,0.293877551
"96","21.008.21.7.",2011,0,0.261744966
"97","21.021.21.20.",2011,0,0.234741784
"98","21.036.21.25.",2011,0,0.408653846
"99","21.049.21.41.",2011,0,0.189054726
"100","21.055.21.53.",2011,0,0.195
"101","21.077.21.88.",2011,0,0.190140845
"102","21.169.21.112.",2011,0,0.20661157
"103","21.170.21.125.",2011,0,0.185714286
"104","21.196.21.118.",2011,0,0.136094675
"105","21.201.21.92.",2011,0,0.243654822
"106","21.203.21.128.",2011,0,0.176100629
